date,portfolio_value,daily_return,cumulative_return,drawdown
2004-12-15,1000000.0,0.0,0.0,0.0
2004-12-16,999378.7533650859,-0.00062124663491403,-0.00062124663491403,-0.00062124663491403
2004-12-17,992545.0403810313,-0.006837961044343088,-0.007454959618968693,-0.007454959618968693
2004-12-20,992959.2048043074,0.00041727519298984106,-0.007040795195692562,-0.007040795195692562
2004-12-21,1000621.2466349141,0.007716371220020779,0.00062124663491403,0.0
2004-12-22,1003106.2331745703,0.002483443708609201,0.00310623317457015,0.0
2004-12-23,1003727.4798094843,0.0006193228736581791,0.003727479809484402,0.0
2004-12-27,1001035.41105819,-0.002682071384361495,0.00103541105819005,-0.002682071384361495
2004-12-28,1006833.7129840546,0.00579230450972279,0.006833712984054552,0.0
2004-12-29,1008076.2062538827,0.0012340600575895255,0.008076206253882834,0.0
2004-12-30,1006212.4663491405,-0.001848808545603986,0.006212466349140522,-0.001848808545603986
2004-12-31,1005384.1375025883,-0.0008232146532208828,0.00538413750258826,-0.002670501232539202
2005-01-03,999171.6711534477,-0.006179196704428458,-0.000828328846552262,-0.008833196384552378
2005-01-04,986539.6562435285,-0.012642487046632178,-0.013460343756471538,-0.021364009860312394
2005-01-05,980120.1076827499,-0.006507136859781659,-0.01987989231725018,-0.027732128184059346
2005-01-06,984261.7519155103,0.004225649693640365,-0.01573824808448976,-0.02362366474938382
2005-01-07,982605.0942224062,-0.001683147485798453,-0.01739490577759384,-0.02526705012325403
2005-01-10,987160.9028784427,0.004636459430980011,-0.012839097121557286,-0.020747740345110954
2005-01-11,982025.2640298198,-0.005202433396266026,-0.01797473597018029,-0.025842235004108538
2005-01-12,984928.210333962,0.002956081081081141,-0.01507178966603806,-0.022962545665015877
2005-01-13,978624.6697878246,-0.006400000000000072,-0.021375330212175414,-0.02921558537275981
2005-01-14,982446.1243557569,0.003904923599321153,-0.017553875644243044,-0.025424746402228804
2005-01-18,990413.5860611973,0.008109820485744379,-0.009586413938802663,-0.017521116045702056
2005-01-19,982296.4602879172,-0.008195693079657174,-0.017703539712082828,-0.025573211435835574
2005-01-20,977648.5006955115,-0.004731727925644136,-0.022351499304488542,-0.0301839338827804
